intent,patterns,bot_response
noise_control,Q214: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
alcohol_regulation,Q215: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
alcohol_regulation,Q216: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
curfew,Q217: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
alcohol_regulation,Q218: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
drugs,Q219: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q220: Barangay permits are required for public events.,Barangay permits are required for public events.
loitering,Q221: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
violence,Q222: Violent behavior will be reported to barangay officials and police.,Violent behavior will be reported to barangay officials and police.
loitering,Q223: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
barangay_clearance,Q224: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
waste_management,"Q225: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
barangay_clearance,Q226: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
community_service,Q227: Offenders may be required to join clean-up drives.,Barangay promotes community volunteerism.
noise_control,Q228: Barangay noise ordinance requires lowering volume at night.,Loud noise is prohibited after 9:00 PM in residential areas.
community_service,Q229: Offenders may be required to join clean-up drives.,Offenders may be required to join clean-up drives.
waste_management,"Q230: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
alcohol_regulation,Q231: Residents must follow restrictions on alcohol to avoid penalties.,Residents must follow restrictions on alcohol to avoid penalties.
alcohol_regulation,Q232: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
barangay_clearance,Q233: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
barangay_clearance,Q234: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
alcohol_regulation,Q235: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
violence,Q236: Barangay encourages peaceful resolution of disputes.,Barangay strictly prohibits domestic violence and physical assault.
loitering,Q237: Loitering rules are enforced for minors and late-night gatherings.,Loitering in public areas during curfew is prohibited.
community_service,Q238: Barangay promotes community volunteerism.,Offenders may be required to join clean-up drives.
loitering,Q239: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
permits,Q240: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
drugs,Q241: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q242: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
violence,Q243: Barangay strictly prohibits domestic violence and physical assault.,Barangay strictly prohibits domestic violence and physical assault.
permits,Q244: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
noise_control,Q245: Barangay noise ordinance requires lowering volume at night.,Unnecessary loud sound at night may lead to barangay sanctions.
barangay_clearance,Q246: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
violence,Q247: Barangay encourages peaceful resolution of disputes.,Violent behavior will be reported to barangay officials and police.
noise_control,Q248: Loud noise is prohibited after 9:00 PM in residential areas.,Unnecessary loud sound at night may lead to barangay sanctions.
waste_management,Q249: Residents must segregate biodegradable and non-biodegradable waste.,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
community_service,Q250: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
curfew,Q251: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
permits,Q252: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
violence,Q253: Violent behavior will be reported to barangay officials and police.,Barangay encourages peaceful resolution of disputes.
drugs,Q254: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
noise_control,Q255: Loud noise is prohibited after 9:00 PM in residential areas.,Unnecessary loud sound at night may lead to barangay sanctions.
loitering,Q256: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
loitering,Q257: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
loitering,Q258: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
curfew,Q259: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
loitering,Q260: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
waste_management,Q261: Residents must segregate biodegradable and non-biodegradable waste.,Improper waste disposal may lead to fines.
barangay_clearance,Q262: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
noise_control,Q263: Unnecessary loud sound at night may lead to barangay sanctions.,Barangay noise ordinance requires lowering volume at night.
alcohol_regulation,Q264: Alcohol selling is prohibited after 10:00 PM.,Alcohol selling is prohibited after 10:00 PM.
alcohol_regulation,Q265: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
